"Ix","Iz"
1.265e-07,-1.317e-06
1.2855e-07,-1.325e-06
1.3065e-07,-1.333e-06
1.328e-07,-1.341e-06
1.3495e-07,-1.348e-06
1.3715e-07,-1.357e-06
1.3935e-07,-1.365e-06
1.4165e-07,-1.374e-06
1.4395e-07,-1.382e-06
1.4625e-07,-1.39e-06
1.4865e-07,-1.398e-06
1.5105e-07,-1.407e-06
1.5355e-07,-1.416e-06
1.56e-07,-1.425e-06
1.5855e-07,-1.433e-06
1.6115e-07,-1.443e-06
1.6375e-07,-1.451e-06
1.6645e-07,-1.461e-06
1.6915e-07,-1.47e-06
1.719e-07,-1.479e-06
1.747e-07,-1.488e-06
1.775e-07,-1.498e-06
1.804e-07,-1.507e-06
1.8335e-07,-1.517e-06
1.863e-07,-1.526e-06
1.8935e-07,-1.536e-06
1.9245e-07,-1.546e-06
1.9555e-07,-1.556e-06
1.9875e-07,-1.566e-06
2.02e-07,-1.576e-06
2.055e-07,-1.586e-06
2.085e-07,-1.596e-06
2.12e-07,-1.607e-06
2.155e-07,-1.618e-06
2.19e-07,-1.629e-06
2.225e-07,-1.639e-06
2.26e-07,-1.651e-06
2.3e-07,-1.662e-06
2.335e-07,-1.673e-06
2.375e-07,-1.684e-06
2.41e-07,-1.695e-06
2.45e-07,-1.707e-06
2.49e-07,-1.719e-06
2.53e-07,-1.73e-06
2.575e-07,-1.743e-06
2.615e-07,-1.754e-06
2.655e-07,-1.765e-06
2.7e-07,-1.778e-06
2.745e-07,-1.79e-06
2.79e-07,-1.802e-06
2.835e-07,-1.814e-06
2.88e-07,-1.826e-06
2.925e-07,-1.838e-06
2.975e-07,-1.851e-06
3.025e-07,-1.864e-06
3.07e-07,-1.876e-06
3.12e-07,-1.889e-06
3.175e-07,-1.903e-06
3.225e-07,-1.916e-06
3.275e-07,-1.929e-06
3.33e-07,-1.942e-06
3.385e-07,-1.956e-06
3.44e-07,-1.97e-06
3.495e-07,-1.984e-06
3.555e-07,-1.999e-06
3.61e-07,-2.04e-06
3.67e-07,-2.05e-06
3.73e-07,-2.06e-06
3.79e-07,-2.08e-06
3.85e-07,-2.09e-06
3.915e-07,-2.11e-06
3.975e-07,-2.12e-06
4.04e-07,-2.14e-06
4.11e-07,-2.15e-06
4.175e-07,-2.17e-06
4.245e-07,-2.18e-06
4.31e-07,-2.2e-06
4.38e-07,-2.21e-06
4.455e-07,-2.23e-06
4.525e-07,-2.25e-06
4.6e-07,-2.27e-06
4.675e-07,-2.28e-06
4.75e-07,-2.3e-06
4.825e-07,-2.32e-06
4.905e-07,-2.33e-06
4.985e-07,-2.35e-06
5.065e-07,-2.37e-06
5.15e-07,-2.39e-06
5.235e-07,-2.41e-06
5.32e-07,-2.42e-06
5.405e-07,-2.44e-06
5.49e-07,-2.46e-06
5.58e-07,-2.48e-06
5.67e-07,-2.5e-06
5.765e-07,-2.52e-06
5.86e-07,-2.54e-06
5.955e-07,-2.56e-06
