"Vbe","Ib","Ie"
0.255255255255,-1.117e-07,-1.05e-08
0.26026026026,-1.108e-07,-1.21e-08
0.265265265265,-1.107e-07,-1.41e-08
0.27027027027,-1.104e-07,-1.62e-08
0.275275275275,-1.107e-07,-1.9e-08
0.28028028028,-1.099e-07,-2.22e-08
0.285285285285,-1.098e-07,-2.62e-08
0.29029029029,-1.091e-07,-3.07e-08
0.295295295295,-1.095e-07,-3.63e-08
0.3003003003,-1.093e-07,-4.33e-08
0.305305305305,-1.09e-07,-5.09e-08
0.31031031031,-1.09e-07,-6.05e-08
0.315315315315,-1.082e-07,-7.23e-08
0.32032032032,-1.078e-07,-8.67e-08
0.325325325325,-1.076e-07,-1.037e-07
0.33033033033,-1.075e-07,-1.247e-07
0.335335335335,-1.073e-07,-1.497e-07
0.34034034034,-1.069e-07,-1.799e-07
0.345345345345,-1.066e-07,-2.24e-07
0.35035035035,-1.063e-07,-2.69e-07
0.355355355355,-1.057e-07,-3.24e-07
0.36036036036,-1.056e-07,-3.92e-07
0.365365365365,-1.055e-07,-4.72e-07
0.37037037037,-1.06e-07,-5.7e-07
0.375375375375,-1.044e-07,-6.88e-07
0.38038038038,-1.046e-07,-8.31e-07
0.385385385385,-1.042e-07,-1.004e-06
0.39039039039,-1.038e-07,-1.207e-06
0.395395395395,-1.032e-07,-1.452e-06
0.4004004004,-1.024e-07,-1.744e-06
0.405405405405,-1.021e-07,-2.15e-06
0.41041041041,-1.008e-07,-2.59e-06
0.415415415415,-1.004e-07,-3.12e-06
0.42042042042,-9.97e-08,-3.76e-06
0.425425425425,-9.9e-08,-4.53e-06
0.43043043043,-9.78e-08,-5.45e-06
0.435435435435,-9.71e-08,-6.57e-06
0.44044044044,-9.53e-08,-7.92e-06
0.445445445445,-9.4e-08,-9.52e-06
0.45045045045,-9.11e-08,-1.152e-05
0.455455455455,-8.93e-08,-1.393e-05
0.46046046046,-8.61e-08,-1.686e-05
0.465465465465,-8.26e-08,-2.11e-05
0.47047047047,-7.87e-08,-2.55e-05
0.475475475475,-7.4e-08,-3.08e-05
0.48048048048,-6.82e-08,-3.73e-05
0.485485485485,-6e-08,-4.52e-05
0.49049049049,-5.13e-08,-5.46e-05
0.495495495495,-4.12e-08,-6.6e-05
0.500500500501,-2.9e-08,-7.98e-05
0.505505505506,-1.39e-08,-9.65e-05
0.510510510511,4.3e-09,-0.0001165
0.515515515516,2.6e-08,-0.0001406
0.520520520521,5.28e-08,-0.000169
0.525525525526,8.7e-08,-0.000205
0.530530530531,1.25e-07,-0.000246
0.535535535536,1.701e-07,-0.000295
0.540540540541,2.32e-07,-0.000365
0.545545545546,3e-07,-0.00044
0.550550550551,3.84e-07,-0.000531
0.555555555556,4.85e-07,-0.000641
0.560560560561,6.06e-07,-0.000772
0.565565565566,7.49e-07,-0.000927
0.570570570571,9.24e-07,-0.001115
0.575575575576,1.131e-06,-0.001339
0.580580580581,1.381e-06,-0.001607
0.585585585586,1.678e-06,-0.001923
0.590590590591,2.13e-06,-0.00241
0.595595595596,2.58e-06,-0.0029
0.600600600601,3.13e-06,-0.00349
0.605605605606,3.78e-06,-0.00418
0.610610610611,4.56e-06,-0.005
0.615615615616,5.47e-06,-0.00597
0.620620620621,6.55e-06,-0.00711
0.625625625626,7.8e-06,-0.00843
0.630630630631,9.28e-06,-0.00996
0.635635635636,1.098e-05,-0.01173
0.640640640641,1.295e-05,-0.01377
0.645645645646,1.517e-05,-0.01603
0.650650650651,1.766e-05,-0.01859
0.655655655656,2.05e-05,-0.02034
0.660660660661,2.36e-05,-0.02034
0.665665665666,2.64e-05,-0.02034
0.670670670671,2.66e-05,-0.02034
0.675675675676,2.66e-05,-0.02034
0.680680680681,2.66e-05,-0.02034
0.685685685686,2.66e-05,-0.02034
0.690690690691,2.65e-05,-0.02034
0.695695695696,2.65e-05,-0.02034
0.700700700701,2.65e-05,-0.02034
0.705705705706,2.65e-05,-0.02034
0.710710710711,2.65e-05,-0.02034
0.715715715716,2.65e-05,-0.02034
0.720720720721,2.65e-05,-0.02034
0.725725725726,2.65e-05,-0.02034
0.730730730731,2.65e-05,-0.02034
0.735735735736,2.66e-05,-0.02034
0.740740740741,2.66e-05,-0.02034
0.745745745746,2.66e-05,-0.02034
0.750750750751,2.66e-05,-0.02034
0.755755755756,2.66e-05,-0.02034
0.760760760761,2.66e-05,-0.02034
0.765765765766,2.66e-05,-0.02034
0.770770770771,2.66e-05,-0.02034
0.775775775776,2.66e-05,-0.02034
0.780780780781,2.66e-05,-0.02034
0.785785785786,2.66e-05,-0.02034
0.790790790791,2.66e-05,-0.02034
0.795795795796,2.66e-05,-0.02034
0.800800800801,2.66e-05,-0.02034
0.805805805806,2.67e-05,-0.02034
0.810810810811,2.67e-05,-0.02034
0.815815815816,2.67e-05,-0.02034
0.820820820821,2.67e-05,-0.02034
0.825825825826,2.67e-05,-0.02034
0.830830830831,2.67e-05,-0.02034
0.835835835836,2.67e-05,-0.02034
0.840840840841,2.67e-05,-0.02034
0.845845845846,2.67e-05,-0.02034
0.850850850851,2.68e-05,-0.02034
0.855855855856,2.68e-05,-0.02034
0.860860860861,2.68e-05,-0.02034
0.865865865866,2.68e-05,-0.02034
0.870870870871,2.68e-05,-0.02034
0.875875875876,2.68e-05,-0.02034
0.880880880881,2.68e-05,-0.02034
0.885885885886,2.69e-05,-0.02034
0.890890890891,2.69e-05,-0.02034
0.895895895896,2.69e-05,-0.02034
0.900900900901,2.69e-05,-0.02034
0.905905905906,2.69e-05,-0.02034
0.910910910911,2.69e-05,-0.02034
0.915915915916,2.69e-05,-0.02034
0.920920920921,2.69e-05,-0.02034
0.925925925926,2.7e-05,-0.02034
0.930930930931,2.7e-05,-0.02034
0.935935935936,2.7e-05,-0.02034
0.940940940941,2.7e-05,-0.02034
0.945945945946,2.7e-05,-0.02034
0.950950950951,2.7e-05,-0.02034
0.955955955956,2.71e-05,-0.02034
0.960960960961,2.71e-05,-0.02034
0.965965965966,2.71e-05,-0.02034
