"Ix","Iz"
2.65e-06,-2.041e-07
2.69e-06,-2.041e-07
2.725e-06,-2.041e-07
2.765e-06,-2.041e-07
2.8e-06,-2.041e-07
2.84e-06,-2.041e-07
2.88e-06,-2.041e-07
2.92e-06,-2.041e-07
2.96e-06,-2.041e-07
3e-06,-2.041e-07
3.045e-06,-2.041e-07
3.085e-06,-2.041e-07
3.13e-06,-2.041e-07
3.175e-06,-2.041e-07
3.215e-06,-2.041e-07
3.26e-06,-2.041e-07
3.31e-06,-2.041e-07
3.355e-06,-2.041e-07
3.4e-06,-2.041e-07
3.45e-06,-2.041e-07
3.495e-06,-2.041e-07
3.545e-06,-2.041e-07
3.595e-06,-2.041e-07
3.645e-06,-2.041e-07
3.695e-06,-2.041e-07
3.745e-06,-2.041e-07
3.8e-06,-2.041e-07
3.85e-06,-2.041e-07
3.905e-06,-2.041e-07
3.96e-06,-2.041e-07
4.015e-06,-2.041e-07
4.07e-06,-2.041e-07
4.125e-06,-2.041e-07
4.185e-06,-2.041e-07
4.245e-06,-2.041e-07
4.3e-06,-2.041e-07
4.36e-06,-2.041e-07
4.42e-06,-2.041e-07
4.485e-06,-2.041e-07
4.545e-06,-2.041e-07
4.61e-06,-2.041e-07
4.675e-06,-2.041e-07
4.74e-06,-2.041e-07
4.805e-06,-2.041e-07
4.87e-06,-2.041e-07
4.94e-06,-2.041e-07
5.01e-06,-2.041e-07
5.08e-06,-2.041e-07
5.15e-06,-2.041e-07
5.22e-06,-2.041e-07
5.295e-06,-2.041e-07
5.365e-06,-2.041e-07
5.44e-06,-2.041e-07
5.515e-06,-2.041e-07
5.595e-06,-2.041e-07
5.67e-06,-2.041e-07
5.75e-06,-2.041e-07
5.83e-06,-2.041e-07
5.915e-06,-2.041e-07
5.995e-06,-2.041e-07
6.08e-06,-2.041e-07
6.165e-06,-2.041e-07
6.25e-06,-2.041e-07
6.335e-06,-2.041e-07
6.425e-06,-2.041e-07
6.515e-06,-2.041e-07
6.605e-06,-2.041e-07
6.695e-06,-2.041e-07
6.79e-06,-2.041e-07
6.885e-06,-2.041e-07
6.98e-06,-2.041e-07
7.075e-06,-2.041e-07
7.175e-06,-2.041e-07
7.275e-06,-2.041e-07
7.375e-06,-2.041e-07
7.48e-06,-2.041e-07
7.585e-06,-2.041e-07
7.69e-06,-2.041e-07
7.795e-06,-2.041e-07
7.905e-06,-2.041e-07
8.015e-06,-2.041e-07
8.125e-06,-2.041e-07
8.24e-06,-2.041e-07
8.355e-06,-2.041e-07
8.47e-06,-2.041e-07
8.59e-06,-2.041e-07
8.71e-06,-2.041e-07
8.83e-06,-2.041e-07
8.955e-06,-2.041e-07
9.075e-06,-2.041e-07
9.205e-06,-2.041e-07
9.33e-06,-2.041e-07
9.46e-06,-2.041e-07
