"Ix","Iz"
3.495e-06,-2.041e-07
3.545e-06,-2.041e-07
3.595e-06,-2.041e-07
3.645e-06,-2.041e-07
3.695e-06,-2.041e-07
3.745e-06,-2.041e-07
3.8e-06,-2.041e-07
3.85e-06,-2.041e-07
3.905e-06,-2.041e-07
3.96e-06,-2.041e-07
4.015e-06,-2.041e-07
4.07e-06,-2.041e-07
4.125e-06,-2.041e-07
4.185e-06,-2.041e-07
4.245e-06,-2.041e-07
4.3e-06,-2.041e-07
4.36e-06,-2.041e-07
4.42e-06,-2.041e-07
4.485e-06,-2.041e-07
4.545e-06,-2.041e-07
4.61e-06,-2.041e-07
4.675e-06,-2.041e-07
4.74e-06,-2.041e-07
4.805e-06,-2.041e-07
4.87e-06,-2.041e-07
4.94e-06,-2.041e-07
5.01e-06,-2.041e-07
5.08e-06,-2.041e-07
5.15e-06,-2.041e-07
5.22e-06,-2.041e-07
5.295e-06,-2.041e-07
5.365e-06,-2.041e-07
5.44e-06,-2.041e-07
5.515e-06,-2.041e-07
5.595e-06,-2.041e-07
5.67e-06,-2.041e-07
5.75e-06,-2.041e-07
5.83e-06,-2.041e-07
5.915e-06,-2.041e-07
5.995e-06,-2.041e-07
6.08e-06,-2.041e-07
6.165e-06,-2.041e-07
6.25e-06,-2.041e-07
6.335e-06,-2.041e-07
6.425e-06,-2.041e-07
6.515e-06,-2.041e-07
6.605e-06,-2.041e-07
6.695e-06,-2.041e-07
6.79e-06,-2.041e-07
6.885e-06,-2.041e-07
6.98e-06,-2.041e-07
7.075e-06,-2.041e-07
7.175e-06,-2.041e-07
7.275e-06,-2.041e-07
7.375e-06,-2.041e-07
7.48e-06,-2.041e-07
7.585e-06,-2.041e-07
7.69e-06,-2.041e-07
7.795e-06,-2.041e-07
7.905e-06,-2.041e-07
8.015e-06,-2.041e-07
8.125e-06,-2.041e-07
8.24e-06,-2.041e-07
8.355e-06,-2.041e-07
8.47e-06,-2.041e-07
8.59e-06,-2.041e-07
8.71e-06,-2.041e-07
8.83e-06,-2.041e-07
8.955e-06,-2.041e-07
9.075e-06,-2.041e-07
9.205e-06,-2.041e-07
9.33e-06,-2.041e-07
9.46e-06,-2.041e-07
9.595e-06,-2.041e-07
9.725e-06,-2.041e-07
9.865e-06,-2.041e-07
1e-05,-2.041e-07
1.014e-05,-2.041e-07
1.028e-05,-2.041e-07
1.0425e-05,-2.041e-07
1.057e-05,-2.041e-07
1.0715e-05,-2.041e-07
1.0865e-05,-2.041e-07
1.1015e-05,-2.041e-07
1.117e-05,-2.041e-07
1.1325e-05,-2.041e-07
1.1485e-05,-2.041e-07
1.1645e-05,-2.041e-07
1.1805e-05,-2.041e-07
1.197e-05,-2.041e-07
1.2135e-05,-2.041e-07
1.2305e-05,-2.041e-07
1.2475e-05,-2.041e-07
1.265e-05,-2.041e-07
1.2825e-05,-2.041e-07
1.3005e-05,-2.041e-07
1.3185e-05,-2.041e-07
1.337e-05,-2.041e-07
1.3555e-05,-2.041e-07
1.3745e-05,-2.041e-07
1.3935e-05,-2.041e-07
1.413e-05,-2.041e-07
1.4325e-05,-2.041e-07
1.4525e-05,-2.041e-07
1.473e-05,-2.041e-07
1.4935e-05,-2.041e-07
1.514e-05,-2.041e-07
